Sampling Rate : 128HZ,Duration : 10 Minutes
Time,PPG
4.8359375,-84494.89844
4.84375,-84491.67969
4.8515625,-84492.41406
4.859375,-84487.11719
4.8671875,-84473.63281
4.875,-84453.60156
4.8828125,-84430.78906
4.890625,-84407.6875
4.8984375,-84381.90625
4.90625,-84349.61719
4.9140625,-84308
4.921875,-84258.54688
4.9296875,-84207.71875
4.9375,-84162.75
4.9453125,-84128.94531
4.953125,-84106.40625
4.9609375,-84089.10938
4.96875,-84071.49219
4.9765625,-84048.39844
4.984375,-84019.85156
4.9921875,-83990.21875
5,-83963.67188
5.0078125,-83944.32031
5.015625,-83931.97656
5.0234375,-83923.13281
5.03125,-83913.58594
5.0390625,-83898.58594
5.046875,-83875.98438
5.0546875,-83845.36719
5.0625,-83807.46875
5.0703125,-83763.96875
5.078125,-83715.14063
5.0859375,-83661.38281
5.09375,-83602.9375
5.1015625,-83539.32813
5.109375,-83473.71875
5.1171875,-83409.28906
5.125,-83351.32031
5.1328125,-83305.53125
5.140625,-83274.1875
5.1484375,-83258.54688
5.15625,-83254.88281
5.1640625,-83257.28906
5.171875,-83260.5
5.1796875,-83260.39844
5.1875,-83257.01563
5.1953125,-83252.97656
5.203125,-83251.78906
5.2109375,-83256.24219
5.21875,-83265.89063
5.2265625,-83279
5.234375,-83293.57813
5.2421875,-83307.92188
5.25,-83324.46875
5.2578125,-83344.6875
5.265625,-83369.53125
5.2734375,-83397.48438
5.28125,-83422.82813
5.2890625,-83441.58594
5.296875,-83450.30469
5.3046875,-83448.98438
5.3125,-83440.91406
5.3203125,-83428.8125
5.328125,-83414.71875
5.3359375,-83398.25781
5.34375,-83378.125
5.3515625,-83354.08594
5.359375,-83326.44531
5.3671875,-83297.23438
5.375,-83268.57813
5.3828125,-83240.9375
5.390625,-83216.71875
5.3984375,-83197.02344
5.40625,-83183.75
5.4140625,-83177.91406
5.421875,-83176.32031
5.4296875,-83175.23438
5.4375,-83168.64844
5.4453125,-83152.91406
5.453125,-83129.10156
5.4609375,-83100.63281
5.46875,-83071.96875
5.4765625,-83043.97656
5.484375,-83012.72656
5.4921875,-82971.84375
5.5,-82914.82813
5.5078125,-82840.00781
5.515625,-82750.60156
5.5234375,-82651.53125
5.53125,-82549.19531
5.5390625,-82445.35156
5.546875,-82339.375
5.5546875,-82229.82031
5.5625,-82115.01563
5.5703125,-81997.9375
5.578125,-81882.34375
5.5859375,-81772.26563
5.59375,-81670.60156
5.6015625,-81576.59375
5.609375,-81488.02344
5.6171875,-81401.67188
5.625,-81315.23438
5.6328125,-81228.76563
5.640625,-81143.09375
5.6484375,-81060.17969
5.65625,-80981.54688
5.6640625,-80906.1875
5.671875,-80834.07031
5.6796875,-80762.98438
5.6875,-80692.23438
5.6953125,-80622.66406
5.703125,-80554.71094
5.7109375,-80491.45313
5.71875,-80433.74219
5.7265625,-80380.84375
5.734375,-80330.48438
5.7421875,-80278.40625
5.75,-80222.03125
5.7578125,-80161.66406
5.765625,-80101.34375
5.7734375,-80048.16406
5.78125,-80007.61719
5.7890625,-79981.80469
5.796875,-79967.57813
5.8046875,-79957.17969
5.8125,-79945.28125
5.8203125,-79928.74219
5.828125,-79909.65625
5.8359375,-79892.33594
5.84375,-79877.29688
5.8515625,-79862.75
5.859375,-79842.17969
5.8671875,-79810.125
5.875,-79767.0625
5.8828125,-79718.71875
5.890625,-79675.34375
5.8984375,-79645.39844
5.90625,-79631.53125
5.9140625,-79630.57031
5.921875,-79635.14063
5.9296875,-79639.50781
5.9375,-79641.77344
5.9453125,-79642.32031
5.953125,-79644.19531
5.9609375,-79646.54688
5.96875,-79646.09375
5.9765625,-79638.58594
5.984375,-79619.84375
5.9921875,-79591.625
6,-79557.4375
6.0078125,-79522.73438
6.015625,-79490.6875
6.0234375,-79460.34375
6.03125,-79429.52344
6.0390625,-79397.04688
6.046875,-79365.63281
6.0546875,-79342.47656
6.0625,-79334.67188
6.0703125,-79346.1875
6.078125,-79374.78906
6.0859375,-79412.78125
6.09375,-79455.82031
6.1015625,-79505.10156
6.109375,-79570.84375
6.1171875,-79666.04688
6.125,-79794.60938
6.1328125,-79946.80469
6.140625,-80095.57813
6.1484375,-80207.82031
6.15625,-80259.32813
6.1640625,-80244.54688
6.171875,-80179.64063
6.1796875,-80091.86719
6.1875,-80005.0625
6.1953125,-79929.16406
6.203125,-79856.69531
6.2109375,-79771.36719
6.21875,-79658.54688
6.2265625,-79512.17188
6.234375,-79339.4375
6.2421875,-79153.28125
6.25,-78968.26563
6.2578125,-78795.79688
6.265625,-78640.42969
6.2734375,-78504.28125
6.28125,-78385.09375
6.2890625,-78278.92969
6.296875,-78182.07031
6.3046875,-78090.79688
6.3125,-78004.96094
6.3203125,-77927.48438
6.328125,-77863.41406
6.3359375,-77817.67969
6.34375,-77790.53125
6.3515625,-77777.42969
6.359375,-77769.80469
6.3671875,-77757.46094
6.375,-77735.75
6.3828125,-77704.0625
6.390625,-77667.07813
6.3984375,-77630.73438
6.40625,-77596.61719
6.4140625,-77563.84375
6.421875,-77526.77344
6.4296875,-77479.71875
6.4375,-77420.51563
6.4453125,-77349.9375
6.453125,-77272.34375
6.4609375,-77192.26563
6.46875,-77113.02344
6.4765625,-77036.72656
6.484375,-76963.71875
6.4921875,-76894.61719
6.5,-76830.17188
6.5078125,-76767.66406
6.515625,-76706.47656
6.5234375,-76643.26563
6.53125,-76575.96094
6.5390625,-76504.64063
6.546875,-76429.82813
6.5546875,-76354.84375
6.5625,-76280.90625
6.5703125,-76207.65625
6.578125,-76134.27344
6.5859375,-76059.54688
6.59375,-75984.86719
6.6015625,-75913.23438
6.609375,-75847.59375
6.6171875,-75789.28906
6.625,-75735.71094
6.6328125,-75682.89063
6.640625,-75627.96094
6.6484375,-75570.53125
6.65625,-75516.32031
6.6640625,-75471.4375
6.671875,-75440.80469
6.6796875,-75424.80469
6.6875,-75417.17188
6.6953125,-75411.35938
6.703125,-75400.85938
6.7109375,-75383.84375
6.71875,-75363.5625
6.7265625,-75344.53125
6.734375,-75330.92969
6.7421875,-75323.21875
6.75,-75318.60938
